date,non-renewable,renewable,total
01/01/05,13599488.22,2898881.58,16498369.8
01/02/05,12728204.33,2849328.77,15577533.1
01/03/05,14245505.82,3083400.12,17328905.94
01/04/05,14371353.99,3641810.32,18013164.31
01/05/05,15467919.87,3575486.59,19043406.46
01/06/05,16104801.6,3531600.54,19636402.14
01/07/05,15500614.02,4246415.08,19747029.1
01/08/05,14711750.84,4942566.16,19654317
01/09/05,14539948.04,4461584.86,19001532.9
01/10/05,13656508.87,4790216.4,18446725.27
01/11/05,13202320.25,3892992.48,17095312.73
01/12/05,13310547.62,3805531.7,17116079.32
01/01/06,13581789.64,3696191.1,17277980.74
01/02/06,12812905.19,3347372.25,16160277.44
01/03/06,14334142.34,4232478.44,18566620.78
01/04/06,14330120.54,3693202.62,18023323.16
01/05/06,15726566.09,4045646.34,19772212.43
01/06/06,16041571.68,3960426,20001997.68
01/07/06,16360348.52,3919736.73,20280085.25
01/08/06,15586288.52,4679132.26,20265420.78
01/09/06,14120600.33,4856103.52,18976703.85
01/10/06,15121224.47,3984286.36,19105510.83
01/11/06,13715073.18,3842931.51,17558004.69
01/12/06,13931601.04,3643772.87,17575373.91
01/01/07,14439307.55,3595727.04,18035034.59
01/02/07,12954537.28,3449894.94,16404432.22
01/03/07,15546026.72,3672683.55,19218710.27
01/04/07,14632669.73,3602226.91,18234896.64
01/05/07,16822549.07,3575051.37,20397600.44
01/06/07,17114237.23,3436235.24,20550472.47
01/07/07,16875705.6,3897280.79,20772986.39
01/08/07,16640065.57,4491507.39,21131572.96
01/09/07,15093217.58,4764444.89,19857662.47
01/10/07,15939425.62,3976180.87,19915606.49
01/11/07,15018891.17,3218583.54,18237474.71
01/12/07,14734842.16,3435347.13,18170189.29
01/01/08,15313375.88,3188175.56,18501551.44
01/02/08,14825684.9,3088197.29,17913882.19
01/03/08,14902549.49,4075828.42,18978377.91
01/04/08,14938298.69,4977129.17,19915427.86
01/05/08,16223554.17,5077200.16,21300754.33
01/06/08,16854943.06,4417707.48,21272650.54
01/07/08,15372136.27,5604034.44,20976170.71
01/08/08,14822166.28,6488508.53,21310674.81
01/09/08,13017267.07,6604472.97,19621740.04
01/10/08,14451797.92,5043426.4,19495224.32
01/11/08,13735191.67,3825799.14,17560990.81
01/12/08,13632944.9,3615902.6,17248847.5
01/01/09,13891185.07,3612343.98,17503529.05
01/02/09,12554275.08,3796915.8,16351190.88
01/03/09,14593516.36,4206661.13,18800177.49
01/04/09,14810919.38,3795204.59,18606123.97
01/05/09,16816693.37,3477731.37,20294424.74
01/06/09,16885497.22,3847727.27,20733224.49
01/07/09,17765882.7,4313846.54,22079729.24
01/08/09,18375859.54,3824783.14,22200642.68
01/09/09,16603185.01,3697525.98,20300710.99
01/10/09,16731066.55,3571656,20302722.55
01/11/09,15122068.08,2857370.02,17979438.1
01/12/09,15386533.39,2933190.17,18319723.56
01/01/10,15331229.157,2981227.171,18312456.328
01/02/10,13473740.715,3057400.272,16531140.987
01/03/10,15929454.946,3354718.134,19284173.08
01/04/10,16606262.352,2922500.667,19528763.019
01/05/10,18285962.328,3529034.331,21814996.659
01/06/10,18898051.135,3398776.516,22296827.651
01/07/10,17024462.22,4814207.559,21838669.779
01/08/10,16665948.185,6072852.342,22738800.527
01/09/10,14413400.815,6872766.924,21286167.739
01/10/10,14829999.797,5556535.153,20386534.95
01/11/10,14778425.435,3949647.945,18728073.38
01/12/10,15851402.751,2892887.99,18744290.741
01/01/11,15675950.087,3632072.276,19308022.363
01/02/11,14438796.871,3662459.311,18101256.182
01/03/11,17275760.626,3933451.442,21209212.068
01/04/11,17487973.112,3850998.834,21338971.946
01/05/11,18940932.242,4288146.209,23229078.451
01/06/11,19487022.637,3989237.802,23476260.439
01/07/11,18723162.282,4698227.59,23421389.872
01/08/11,18938824.356,5466554.245,24405378.601
01/09/11,16752204.884,5869561.254,22621766.138
01/10/11,16621990.595,4917053.707,21539044.302
01/11/11,15495632.515,4162382.242,19658014.757
01/12/11,15296307.008,4278843.361,19575150.369
01/01/12,16039046.018,3825873.392,19864919.41
01/02/12,15186182.157,3737589.46,18923771.617
01/03/12,17031659.92,4349633.42,21381293.34
01/04/12,16692924.871,4360935.223,21053860.094
01/05/12,19061300.302,4916592.056,23977892.358
01/06/12,19518455.242,4416543.376,23934998.618
01/07/12,19236080.439,4197361.242,23433441.681
01/08/12,19868357.014,4579462.457,24447819.471
01/09/12,18917188.953,3594733.512,22511922.465
01/10/12,18439935.628,3518920.793,21958856.421
01/11/12,16694247.223,2861827.248,19556074.471
01/12/12,16163418.289,3289563.914,19452982.203
01/01/13,16903566.27,2874607.482,19778173.752
01/02/13,15943645.052,2586732.657,18530377.709
01/03/13,17211478.373,3118899.818,20330378.191
01/04/13,18285688.648,3443234.917,21728923.565
01/05/13,19961077.473,3255457.521,23216534.994
01/06/13,20000216.303,3737677.369,23737893.672
01/07/13,19451938.426,4275369.192,23727307.618
01/08/13,20132192.673,4387844.207,24520036.88
01/09/13,17023241.837,5074651.623,22097893.46
01/10/13,16168403.244,5544125.994,21712529.238
01/11/13,14729113.608,4656421.932,19385535.54
